Microbe,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Streptococcus_thermophilus_CNRZ1066,0,0,0,0.056,0,0.164,0,0,0,0.183
Escherichia_coli_0_1288,0,0,0,0,0.40079,0,0.38086,0,0.15723,0.40283
Bacteroides_uniformis_ATCC_8492,0.37234,0,0,0,0,0,0,0,0,0.31984
Veillonella_parvula_ACS_068_V_Sch12,0,0,0,0.38229,0,0,0.30957,0,0.27201,0
Clostridium_butyricum_5521,0,0,0,0.34557,0.3556,0,0,0.27319,0,0
Campylobacter_jejuni_CJM1cam,0.35957,0,0,0,0,0,0,0.25295,0,0
Prevotella_copri_CB7_DSM_18205,0,0.31228,0,0.27214,0,0,0,0,0,0.27733
Lactobacillus_iners_7_1_47FAA,0,0.45263,0.0075188,0,0,0,0,0,0.20755,0
Salmonella_enterica_enterica_sv_Typhimurium_LT2,0,0,0,0,0,0,0,0.22766,0.19969,0
Prevotella_shahii_JCM_12083,0.26809,0,0.31078,0,0,0,0.222,0,0,0
Collinsella_aerofaciens_ATCC_25986,0,0,0.23308,0,0,0.37891,0,0,0.13522,0
Escherichia_albertii_EC06_170,0,0,0.21554,0,0,0,0.087576,0,0,0
Coprococcus_catus_ERR2221258,0,0,0.23308,0,0.14735,0,0,0,0,0
Bifidobacterium_longum_BG7,0,0.23509,0,0,0,0.36328,0,0.12985,0,0
Rothia_mucilaginosa_ATCC_25296,0,0,0,0,0,0.25781,0,0.11636,0,0
Bacteroides_ovatus_3_8_47FAA,0,0,0,0,0.096267,0,0,0,0,0
Lactobacillus_intestinalis_ERR2221123,0,0,0,0,0,0,0,0,0.028302,0
